294192,8/23/2013 0:46,8/23/2013 1:26,1420,2370,43,Michigan Ave & Washington St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.886,-87.6241,240.803156588268
294193,8/23/2013 0:46,8/23/2013 1:25,1213,2356,43,Michigan Ave & Washington St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.886,-87.6241,240.803156588268
294194,8/23/2013 0:48,8/23/2013 1:26,772,2259,43,Michigan Ave & Washington St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.886,-87.6241,240.803156588268
294195,8/23/2013 0:50,8/23/2013 0:56,120,409,219,Damen Ave & Cortland Ave,69,Damen Ave & Pierce Ave,Customer,null,null,Logan Square,41.916,-87.6774,West Town,41.9094,-87.6777,736.883279471585
294196,8/23/2013 0:50,8/23/2013 1:26,46,2140,43,Michigan Ave & Washington St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.886,-87.6241,240.803156588268
294197,8/23/2013 0:51,8/23/2013 1:26,1388,2071,43,Michigan Ave & Washington St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.886,-87.6241,240.803156588268
294198,8/23/2013 0:52,8/23/2013 1:24,1026,1913,177,Theater on the Lake,126,Clark St & North Ave,Customer,null,null,Lincoln Park,41.9263,-87.6308,Near North Side,41.912,-87.6319,1591.31544564313
294199,8/23/2013 0:52,8/23/2013 1:24,76,1929,177,Theater on the Lake,126,Clark St & North Ave,Customer,null,null,Lincoln Park,41.9263,-87.6308,Near North Side,41.912,-87.6319,1591.31544564313
294200,8/23/2013 0:56,8/23/2013 1:16,1284,1174,177,Theater on the Lake,177,Theater on the Lake,Customer,null,null,Lincoln Park,41.9263,-87.6308,Lincoln Park,41.9263,-87.6308,0
294201,8/23/2013 0:57,8/23/2013 1:16,1492,1180,177,Theater on the Lake,177,Theater on the Lake,Customer,null,null,Lincoln Park,41.9263,-87.6308,Lincoln Park,41.9263,-87.6308,0
294206,8/23/2013 1:07,8/23/2013 1:35,229,1695,196,Cityfront Plaza & N Water St,196,Cityfront Plaza & N Water St,Customer,null,null,Near North Side,41.8899,-87.622,Near North Side,41.8899,-87.622,0
294208,8/23/2013 1:14,8/23/2013 1:31,264,983,29,Noble St & Milwaukee Ave,123,California Ave & Milwaukee Ave,Customer,null,null,West Town,41.9007,-87.6626,Logan Square,41.9227,-87.6972,3767.9110977331
294209,8/23/2013 1:14,8/23/2013 1:16,904,96,144,Larrabee St & Webster Ave,144,Larrabee St & Webster Ave,Customer,null,null,Lincoln Park,41.9217,-87.644,Lincoln Park,41.9217,-87.644,0
294210,8/23/2013 1:17,8/23/2013 1:33,1284,965,177,Theater on the Lake,176,Clark St & Elm St,Customer,null,null,Lincoln Park,41.9263,-87.6308,Near North Side,41.9032,-87.6313,2559.77063913444
294211,8/23/2013 1:17,8/23/2013 1:39,815,1312,144,Larrabee St & Webster Ave,144,Larrabee St & Webster Ave,Customer,null,null,Lincoln Park,41.9217,-87.644,Lincoln Park,41.9217,-87.644,0
294212,8/23/2013 1:17,8/23/2013 1:33,1492,957,177,Theater on the Lake,176,Clark St & Elm St,Customer,null,null,Lincoln Park,41.9263,-87.6308,Near North Side,41.9032,-87.6313,2559.77063913444
294213,8/23/2013 1:18,8/23/2013 1:39,500,1248,33,State St & Van Buren St,199,Wabash Ave & Grand Ave,Customer,null,null,The Loop,41.8772,-87.6278,Near North Side,41.8917,-87.6269,1618.61274839905
294214,8/23/2013 1:23,8/23/2013 1:52,687,1745,20,Sheffield Ave & Kingsbury St,116,Western Ave & Winnebago Ave,Customer,null,null,Near North Side,41.9096,-87.6535,Logan Square,41.9155,-87.687,2860.90103160257
294215,8/23/2013 1:25,8/23/2013 1:39,867,847,33,State St & Van Buren St,199,Wabash Ave & Grand Ave,Customer,null,null,The Loop,41.8772,-87.6278,Near North Side,41.8917,-87.6269,1618.61274839905
294216,8/23/2013 1:25,8/23/2013 1:47,1613,1324,20,Sheffield Ave & Kingsbury St,185,Stave St & Armitage Ave,Customer,null,null,Near North Side,41.9096,-87.6535,Logan Square,41.9177,-87.6914,3271.55290686824
294217,8/23/2013 1:27,8/23/2013 1:52,1547,1466,123,California Ave & Milwaukee Ave,56,Desplaines St & Kinzie St,Customer,null,null,Logan Square,41.9227,-87.6972,Near West Side,41.8887,-87.6444,5776.48659609478
294219,8/23/2013 1:30,8/23/2013 1:47,595,1074,20,Sheffield Ave & Kingsbury St,185,Stave St & Armitage Ave,Customer,null,null,Near North Side,41.9096,-87.6535,Logan Square,41.9177,-87.6914,3271.55290686824
294220,8/23/2013 1:30,8/23/2013 1:47,503,1060,20,Sheffield Ave & Kingsbury St,185,Stave St & Armitage Ave,Customer,null,null,Near North Side,41.9096,-87.6535,Logan Square,41.9177,-87.6914,3271.55290686824
294221,8/23/2013 1:30,8/23/2013 1:53,56,1334,20,Sheffield Ave & Kingsbury St,116,Western Ave & Winnebago Ave,Customer,null,null,Near North Side,41.9096,-87.6535,Logan Square,41.9155,-87.687,2860.90103160257
294223,8/23/2013 1:32,8/23/2013 1:47,648,945,20,Sheffield Ave & Kingsbury St,185,Stave St & Armitage Ave,Customer,null,null,Near North Side,41.9096,-87.6535,Logan Square,41.9177,-87.6914,3271.55290686824
294224,8/23/2013 1:34,8/23/2013 1:48,645,826,20,Sheffield Ave & Kingsbury St,185,Stave St & Armitage Ave,Customer,null,null,Near North Side,41.9096,-87.6535,Logan Square,41.9177,-87.6914,3271.55290686824
294225,8/23/2013 1:37,8/23/2013 2:11,851,2030,93,Sheffield Ave & Willow St,93,Sheffield Ave & Willow St,Customer,null,null,Lincoln Park,41.9137,-87.6529,Lincoln Park,41.9137,-87.6529,0
294227,8/23/2013 1:42,8/23/2013 1:57,1744,883,144,Larrabee St & Webster Ave,93,Sheffield Ave & Willow St,Customer,null,null,Lincoln Park,41.9217,-87.644,Lincoln Park,41.9137,-87.6529,1157.69153825868
294231,8/23/2013 1:52,8/23/2013 2:15,1260,1385,25,Michigan Ave & Pearson St,177,Theater on the Lake,Customer,null,null,Near North Side,41.8977,-87.6235,Lincoln Park,41.9263,-87.6308,3236.09426600016
294232,8/23/2013 1:54,8/23/2013 2:14,592,1226,130,Damen Ave & Division St,128,Damen Ave & Chicago Ave,Customer,null,null,West Town,41.9033,-87.6769,West Town,41.8958,-87.6772,837.88852659407
294233,8/23/2013 1:54,8/23/2013 2:11,1560,1028,181,LaSalle St & Illinois St,42,Wabash Ave & Cermak Rd,Customer,null,null,Near North Side,41.8908,-87.6321,Near South Side,41.8532,-87.6253,4203.50827974567
294234,8/23/2013 1:55,8/23/2013 2:47,690,3085,90,Millennium Park,90,Millennium Park,Customer,null,null,The Loop,41.881,-87.6241,The Loop,41.881,-87.6241,0
294236,8/23/2013 1:57,8/23/2013 2:17,1744,1178,93,Sheffield Ave & Willow St,143,Sedgwick St & Webster Ave,Customer,null,null,Lincoln Park,41.9137,-87.6529,Lincoln Park,41.922,-87.6385,1502.14625598774
