trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
656107,10/2/2013 0:01,10/2/2013 0:12,2392,697,114,Sheffield Ave & Addison St,306,Sheridan Rd & Buena Ave,Customer,null,null,Lake View,41.9469,-87.6544,Uptown,41.9584,-87.6542,1279.68364207171
656108,10/2/2013 0:01,10/2/2013 0:29,2113,1628,289,Wells St & Concord Ln,332,Halsted St & Diversey Pkwy,Customer,null,null,Lincoln Park,41.9122,-87.6347,Lincoln Park,41.9333,-87.6488,2622.50581502211
656111,10/2/2013 0:03,10/2/2013 0:26,2485,1352,289,Wells St & Concord Ln,332,Halsted St & Diversey Pkwy,Customer,null,null,Lincoln Park,41.9122,-87.6347,Lincoln Park,41.9333,-87.6488,2622.50581502211
656114,10/2/2013 0:05,10/2/2013 0:13,2056,439,114,Sheffield Ave & Addison St,254,Pine Grove Ave & Irving Park Rd,Customer,null,null,Lake View,41.9469,-87.6544,Lake View,41.9544,-87.648,988.294254651379
656115,10/2/2013 0:06,10/2/2013 0:31,1762,1494,286,Franklin St & Quincy St,279,Halsted St & 35th St,Customer,null,null,The Loop,41.8787,-87.6348,Bridgeport,41.8307,-87.6472,5436.44708186347
656117,10/2/2013 0:07,10/2/2013 0:25,683,1076,289,Wells St & Concord Ln,332,Halsted St & Diversey Pkwy,Customer,null,null,Lincoln Park,41.9122,-87.6347,Lincoln Park,41.9333,-87.6488,2622.50581502211
656121,10/2/2013 0:17,10/2/2013 0:24,1863,376,97,Museum Campus,97,Museum Campus,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8652,-87.6178,0
656122,10/2/2013 0:18,10/2/2013 0:25,889,407,132,Wentworth Ave & 24th St,147,Indiana Ave & 26th St,Customer,null,null,Armour Square,41.8492,-87.6317,Douglas,41.8457,-87.6225,861.713354747191
656124,10/2/2013 0:20,10/2/2013 0:39,646,1140,35,Streeter Dr & Illinois St,255,Indiana Ave & Roosevelt Rd,Customer,null,null,Near North Side,41.8911,-87.6122,The Loop,41.8679,-87.623,2727.67068999185
656125,10/2/2013 0:20,10/2/2013 0:39,2465,1142,35,Streeter Dr & Illinois St,255,Indiana Ave & Roosevelt Rd,Customer,null,null,Near North Side,41.8911,-87.6122,The Loop,41.8679,-87.623,2727.67068999185
656127,10/2/2013 0:23,10/2/2013 0:27,2367,267,234,Clark St & Montrose Ave,231,Sheridan Rd & Montrose Ave,Customer,null,null,Uptown,41.9616,-87.666,Uptown,41.9617,-87.6546,944.778190636008
656128,10/2/2013 0:23,10/2/2013 0:45,2121,1324,97,Museum Campus,97,Museum Campus,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8652,-87.6178,0
656129,10/2/2013 0:23,10/2/2013 0:46,509,1364,97,Museum Campus,97,Museum Campus,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8652,-87.6178,0
656130,10/2/2013 0:24,10/2/2013 0:49,2332,1547,305,Western Ave & Division St,51,Clark St & Randolph St,Customer,null,null,West Town,41.9029,-87.6873,The Loop,41.8846,-87.6319,5026.45403066022
656132,10/2/2013 0:24,10/2/2013 0:42,2085,1085,97,Museum Campus,97,Museum Campus,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8652,-87.6178,0
656135,10/2/2013 0:26,10/2/2013 0:48,1857,1325,304,Halsted St & Waveland Ave,295,Broadway & Argyle St,Customer,null,null,Lake View,41.9494,-87.6496,Uptown,41.973,-87.6596,2749.23631873679
656136,10/2/2013 0:26,10/2/2013 0:31,2486,270,26,McClurg Ct & Illinois St,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Near North Side,41.891,-87.6173,Near North Side,41.8969,-87.6217,750.960641172444
