trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
612062,9/28/2013 0:00,9/28/2013 0:48,1364,2896,94,Lincoln Ave & Armitage Ave,220,Hampden Ct & Diversey Pkwy,Customer,null,null,Lincoln Park,41.9183,-87.6363,Lake View,41.9326,-87.6424,1668.52996809918
612063,9/28/2013 0:00,9/28/2013 1:04,983,3830,299,Halsted St & Roscoe St,150,Fort Dearborn Dr & 31st St,Customer,null,null,Lake View,41.9437,-87.6489,Douglas,41.8386,-87.6082,12154.6712391531
612067,9/28/2013 0:02,9/28/2013 0:11,1707,489,190,Southport Ave & Wrightwood Ave,327,Sheffield Ave & Webster Ave,Customer,null,null,Lincoln Park,41.9289,-87.6632,Lincoln Park,41.9217,-87.6537,1119.60423704457
612069,9/28/2013 0:03,9/28/2013 0:20,1431,1021,26,McClurg Ct & Illinois St,199,Wabash Ave & Grand Ave,Customer,null,null,Near North Side,41.891,-87.6173,Near North Side,41.8917,-87.6269,803.755364461287
612070,9/28/2013 0:03,9/28/2013 0:48,1029,2731,94,Lincoln Ave & Armitage Ave,220,Hampden Ct & Diversey Pkwy,Customer,null,null,Lincoln Park,41.9183,-87.6363,Lake View,41.9326,-87.6424,1668.52996809918
612072,9/28/2013 0:03,9/28/2013 0:20,673,989,26,McClurg Ct & Illinois St,199,Wabash Ave & Grand Ave,Customer,null,null,Near North Side,41.891,-87.6173,Near North Side,41.8917,-87.6269,803.755364461287
612074,9/28/2013 0:04,9/28/2013 0:22,183,1063,52,Michigan Ave & Lake St,25,Michigan Ave & Pearson St,Customer,null,null,The Loop,41.886,-87.6241,Near North Side,41.8977,-87.6235,1293.40567788126
612077,9/28/2013 0:05,9/28/2013 0:22,145,1047,118,Sedgwick St & North Ave,210,Ashland Ave & Division St,Customer,null,null,Lincoln Park,41.9106,-87.6386,West Town,41.9034,-87.6693,2667.12404108322
612078,9/28/2013 0:05,9/28/2013 0:22,2310,1039,118,Sedgwick St & North Ave,210,Ashland Ave & Division St,Customer,null,null,Lincoln Park,41.9106,-87.6386,West Town,41.9034,-87.6693,2667.12404108322
612079,9/28/2013 0:05,9/28/2013 0:21,2168,978,252,Greenwood Ave & 47th St,252,Greenwood Ave & 47th St,Customer,null,null,Kenwood,41.8098,-87.5994,Kenwood,41.8098,-87.5994,0
612081,9/28/2013 0:06,9/28/2013 0:39,2489,2038,198,Halsted St & Madison St,90,Millennium Park,Customer,null,null,Near West Side,41.8817,-87.6478,The Loop,41.881,-87.6241,1970.12282016169
612082,9/28/2013 0:06,9/28/2013 0:40,1133,2030,198,Halsted St & Madison St,90,Millennium Park,Customer,null,null,Near West Side,41.8817,-87.6478,The Loop,41.881,-87.6241,1970.12282016169
612083,9/28/2013 0:06,9/28/2013 1:38,1167,5517,90,Millennium Park,90,Millennium Park,Customer,null,null,The Loop,41.881,-87.6241,The Loop,41.881,-87.6241,0
612086,9/28/2013 0:07,9/28/2013 0:14,1054,426,300,Broadway & Barry Ave,229,Southport Ave & Roscoe St,Customer,null,null,Lake View,41.9377,-87.6441,Lake View,41.9437,-87.664,1782.24858185029
612088,9/28/2013 0:08,9/28/2013 0:18,1406,647,313,Lakeview Ave & Fullerton Pkwy,94,Lincoln Ave & Armitage Ave,Customer,null,null,Lincoln Park,41.9259,-87.639,Lincoln Park,41.9183,-87.6363,868.007797430452
612094,9/28/2013 0:09,9/28/2013 0:21,1731,723,62,McCormick Place,252,Greenwood Ave & 47th St,Customer,null,null,Near South Side,41.8514,-87.6188,Kenwood,41.8098,-87.5994,4888.63359850875
612095,9/28/2013 0:10,9/28/2013 1:38,2481,5321,90,Millennium Park,90,Millennium Park,Customer,null,null,The Loop,41.881,-87.6241,The Loop,41.881,-87.6241,0
612096,9/28/2013 0:10,9/28/2013 0:27,1132,1042,59,Wabash Ave & Roosevelt Rd,349,Halsted St & Wrightwood Ave,Customer,null,null,The Loop,41.8682,-87.6263,Lincoln Park,41.9291,-87.6491,7032.85548281177
