trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
1098880,12/25/2013 11:50,12/25/2013 12:27,648,2183,254,Pine Grove Ave & Irving Park Rd,296,Broadway & Belmont Ave,Customer,null,null,Lake View,41.9544,-87.648,Lake View,41.9401,-87.6455,1600.27725608508
1098892,12/25/2013 12:30,12/25/2013 12:49,205,1139,126,Clark St & North Ave,143,Sedgwick St & Webster Ave,Customer,null,null,Near North Side,41.912,-87.6319,Lincoln Park,41.922,-87.6385,1237.86394141549
1098894,12/25/2013 12:46,12/25/2013 13:20,147,2002,62,McCormick Place,90,Millennium Park,Customer,null,null,Near South Side,41.8514,-87.6188,The Loop,41.881,-87.6241,3322.68118632272
1098895,12/25/2013 12:47,12/25/2013 13:21,846,2062,62,McCormick Place,90,Millennium Park,Customer,null,null,Near South Side,41.8514,-87.6188,The Loop,41.881,-87.6241,3322.68118632272
1098899,12/25/2013 13:03,12/25/2013 13:16,984,774,313,Lakeview Ave & Fullerton Pkwy,268,Lake Shore Dr & North Blvd,Customer,null,null,Lincoln Park,41.9259,-87.639,Near North Side,41.9117,-87.6268,1866.63280560114
1098901,12/25/2013 13:17,12/25/2013 13:45,1188,1663,268,Lake Shore Dr & North Blvd,106,State St & Pearson St,Customer,null,null,Near North Side,41.9117,-87.6268,Near North Side,41.8974,-87.6287,1593.40102767808
1098908,12/25/2013 13:31,12/25/2013 14:10,476,2310,97,Museum Campus,43,Michigan Ave & Washington St,Customer,null,null,Near South Side,41.8652,-87.6178,The Loop,41.8839,-87.6246,2152.2819401627
1098909,12/25/2013 13:33,12/25/2013 13:38,418,246,349,Halsted St & Wrightwood Ave,340,Clark St & Wrightwood Ave,Customer,null,null,Lincoln Park,41.9291,-87.6491,Lincoln Park,41.9295,-87.6431,496.276258618606
1098914,12/25/2013 14:03,12/25/2013 14:26,418,1418,340,Clark St & Wrightwood Ave,99,Lake Shore Dr & Ohio St,Customer,null,null,Lincoln Park,41.9295,-87.6431,Near North Side,41.8926,-87.6145,4744.24457120163
1098918,12/25/2013 14:17,12/25/2013 14:43,365,1602,44,State St & Randolph St,62,McCormick Place,Customer,null,null,The Loop,41.8847,-87.6277,Near South Side,41.8514,-87.6188,3777.71505103008
1098975,12/25/2013 15:17,12/25/2013 15:28,1711,660,175,Wells St & Polk St,169,Canal St & Harrison St,Customer,null,null,The Loop,41.8724,-87.6335,Near West Side,41.8743,-87.6396,547.035494288992
