trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
636327,9/30/2013 0:05,9/30/2013 0:20,2250,902,183,Damen Ave & Augusta Blvd,215,Damen Ave & Madison St,Customer,null,null,West Town,41.8997,-87.6772,Near West Side,41.8814,-87.6749,2046.44226282635
636328,9/30/2013 0:05,9/30/2013 0:20,474,906,183,Damen Ave & Augusta Blvd,215,Damen Ave & Madison St,Customer,null,null,West Town,41.8997,-87.6772,Near West Side,41.8814,-87.6749,2046.44226282635
636329,9/30/2013 0:11,9/30/2013 0:37,208,1539,330,Lincoln Ave & Addison St,242,Damen Ave & Leland Ave,Customer,null,null,Lake View,41.9462,-87.6733,Lincoln Square,41.9671,-87.679,2371.3164459021
636330,9/30/2013 0:12,9/30/2013 0:29,1124,1005,198,Halsted St & Madison St,195,Columbus Dr & Randolph St,Customer,null,null,Near West Side,41.8817,-87.6478,The Loop,41.8847,-87.6195,2370.40634191716
636331,9/30/2013 0:13,9/30/2013 0:25,370,719,184,State St & 35th St,279,Halsted St & 35th St,Customer,null,null,Douglas,41.831,-87.6269,Bridgeport,41.8307,-87.6472,1686.17821187727
636332,9/30/2013 0:13,9/30/2013 0:24,1859,672,178,State St & 19th St,33,State St & Van Buren St,Customer,null,null,Near West Side,41.8566,-87.6275,The Loop,41.8772,-87.6278,2286.74995070666
636333,9/30/2013 0:14,9/30/2013 0:37,1335,1407,330,Lincoln Ave & Addison St,242,Damen Ave & Leland Ave,Customer,null,null,Lake View,41.9462,-87.6733,Lincoln Square,41.9671,-87.679,2371.3164459021
636336,9/30/2013 0:17,9/30/2013 0:49,2481,1940,255,Indiana Ave & Roosevelt Rd,35,Streeter Dr & Illinois St,Customer,null,null,The Loop,41.8679,-87.623,Near North Side,41.8911,-87.6122,2727.67068999166
636337,9/30/2013 0:16,9/30/2013 0:49,1729,1940,255,Indiana Ave & Roosevelt Rd,35,Streeter Dr & Illinois St,Customer,null,null,The Loop,41.8679,-87.623,Near North Side,41.8911,-87.6122,2727.67068999166
636338,9/30/2013 0:17,9/30/2013 0:49,2166,1900,255,Indiana Ave & Roosevelt Rd,35,Streeter Dr & Illinois St,Customer,null,null,The Loop,41.8679,-87.623,Near North Side,41.8911,-87.6122,2727.67068999166
636340,9/30/2013 0:21,9/30/2013 0:29,2314,509,215,Damen Ave & Madison St,128,Damen Ave & Chicago Ave,Customer,null,null,Near West Side,41.8814,-87.6749,West Town,41.8958,-87.6772,1610.56656152798
636341,9/30/2013 0:21,9/30/2013 0:29,925,492,215,Damen Ave & Madison St,128,Damen Ave & Chicago Ave,Customer,null,null,Near West Side,41.8814,-87.6749,West Town,41.8958,-87.6772,1610.56656152798
636344,9/30/2013 0:23,9/30/2013 0:41,1209,1095,176,Clark St & Elm St,313,Lakeview Ave & Fullerton Pkwy,Customer,null,null,Near North Side,41.9032,-87.6313,Lincoln Park,41.9259,-87.639,2593.32588382978
636347,9/30/2013 0:26,9/30/2013 0:30,929,250,33,State St & Van Buren St,44,State St & Randolph St,Customer,null,null,The Loop,41.8772,-87.6278,The Loop,41.8847,-87.6277,838.547085850028
636349,9/30/2013 0:35,9/30/2013 3:09,1190,9249,37,Dearborn St & Adams St,37,Dearborn St & Adams St,Customer,null,null,The Loop,41.8794,-87.6298,The Loop,41.8794,-87.6298,0
636350,9/30/2013 0:35,9/30/2013 3:09,1343,9255,37,Dearborn St & Adams St,37,Dearborn St & Adams St,Customer,null,null,The Loop,41.8794,-87.6298,The Loop,41.8794,-87.6298,0
636352,9/30/2013 0:37,9/30/2013 3:09,88,9107,37,Dearborn St & Adams St,37,Dearborn St & Adams St,Customer,null,null,The Loop,41.8794,-87.6298,The Loop,41.8794,-87.6298,0
636357,9/30/2013 0:41,9/30/2013 0:49,153,470,47,State St & Kinzie St,25,Michigan Ave & Pearson St,Customer,null,null,Near North Side,41.8892,-87.6277,Near North Side,41.8977,-87.6235,1004.02032679898
636359,9/30/2013 0:43,9/30/2013 0:52,1366,539,117,Wilton Ave & Belmont Ave,220,Hampden Ct & Diversey Pkwy,Customer,null,null,Lake View,41.9402,-87.653,Lake View,41.9326,-87.6424,1218.99434584125
636360,9/30/2013 0:43,9/30/2013 0:52,1906,540,117,Wilton Ave & Belmont Ave,220,Hampden Ct & Diversey Pkwy,Customer,null,null,Lake View,41.9402,-87.653,Lake View,41.9326,-87.6424,1218.99434584125
