trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
875189,10/28/2013 0:08,10/28/2013 0:27,2833,1117,300,Broadway & Barry Ave,177,Theater on the Lake,Customer,null,null,Lake View,41.9377,-87.6441,Lincoln Park,41.9263,-87.6308,1681.22586471448
875191,10/28/2013 0:11,10/28/2013 0:27,1731,963,300,Broadway & Barry Ave,177,Theater on the Lake,Customer,null,null,Lake View,41.9377,-87.6441,Lincoln Park,41.9263,-87.6308,1681.22586471448
875196,10/28/2013 0:29,10/28/2013 0:52,2833,1355,177,Theater on the Lake,117,Wilton Ave & Belmont Ave,Customer,null,null,Lincoln Park,41.9263,-87.6308,Lake View,41.9402,-87.653,2403.44325197775
875197,10/28/2013 0:29,10/28/2013 0:52,2263,1353,177,Theater on the Lake,117,Wilton Ave & Belmont Ave,Customer,null,null,Lincoln Park,41.9263,-87.6308,Lake View,41.9402,-87.653,2403.44325197775
875200,10/28/2013 0:41,10/28/2013 0:51,289,594,75,Canal St & Jackson Blvd,75,Canal St & Jackson Blvd,Customer,null,null,Near West Side,41.8781,-87.64,Near West Side,41.8781,-87.64,0
875205,10/28/2013 1:16,10/28/2013 1:27,2449,673,57,Clinton St & Roosevelt Rd,129,Blue Island Ave & 18th St,Customer,null,null,Near West Side,41.8671,-87.6411,Lower West Side,41.8576,-87.6615,2002.52243639242
875211,10/28/2013 1:38,10/28/2013 1:50,143,708,112,Green St & Randolph St,214,Damen Ave & Grand Ave,Customer,null,null,Near West Side,41.8841,-87.6487,West Town,41.8912,-87.6769,2469.38899000538
875212,10/28/2013 1:44,10/28/2013 1:53,198,542,15,Racine Ave & 18th St,32,Racine Ave & Congress Pkwy,Customer,null,null,Lower West Side,41.8582,-87.6565,Near West Side,41.8746,-87.657,1828.71229566024
875215,10/28/2013 2:01,10/28/2013 2:12,1453,645,71,Morgan St & Lake St,197,Michigan Ave & Madison St,Customer,null,null,Near West Side,41.8855,-87.6523,The Loop,41.8821,-87.6251,2286.43082726713
875217,10/28/2013 2:13,10/28/2013 2:24,1202,654,131,Lincoln Ave & Belmont Ave,157,Lake Shore Dr & Wellington Ave,Customer,null,null,Lake View,41.9394,-87.6684,Lake View,41.9367,-87.6368,2636.93481721651
875218,10/28/2013 2:20,10/28/2013 2:29,2851,508,91,Clinton St & Washington Blvd,199,Wabash Ave & Grand Ave,Customer,null,null,Near West Side,41.8834,-87.6412,Near North Side,41.8917,-87.6269,1502.41254263812
875225,10/28/2013 3:05,10/28/2013 3:13,2815,486,87,Racine Ave & Fullerton Ave,115,Sheffield Ave & Wellington Ave,Customer,null,null,Lincoln Park,41.9256,-87.6584,Lake View,41.9363,-87.6536,1253.38081444709
875246,10/28/2013 5:46,10/28/2013 6:12,2356,1570,234,Clark St & Montrose Ave,69,Damen Ave & Pierce Ave,Customer,null,null,Uptown,41.9616,-87.666,West Town,41.9094,-87.6777,5877.11574628374
875252,10/28/2013 5:50,10/28/2013 6:01,1197,647,332,Halsted St & Diversey Pkwy,60,Dayton St & North Ave,Customer,null,null,Lincoln Park,41.9333,-87.6488,Near North Side,41.9106,-87.6494,2528.94313673357
875253,10/28/2013 5:50,10/28/2013 6:04,899,803,273,Michigan Ave & 18th St,62,McCormick Place,Customer,null,null,Near South Side,41.8579,-87.6236,Near South Side,41.8514,-87.6188,830.631842912478
875256,10/28/2013 5:53,10/28/2013 6:13,1890,1186,120,Wentworth Ave & Archer Ave,75,Canal St & Jackson Blvd,Customer,null,null,Armour Square,41.8546,-87.6319,Near West Side,41.8781,-87.64,2703.803284514
875259,10/28/2013 5:54,10/28/2013 6:01,838,399,268,Lake Shore Dr & North Blvd,176,Clark St & Elm St,Customer,null,null,Near North Side,41.9117,-87.6268,Near North Side,41.9032,-87.6313,1012.56876400559
875277,10/28/2013 6:13,10/28/2013 6:23,2438,601,233,Sangamon St & Washington Blvd,181,LaSalle St & Illinois St,Customer,null,null,Lake View,41.883,-87.6511,Near North Side,41.8908,-87.6321,1802.7425492497
875281,10/28/2013 6:16,10/28/2013 6:22,2043,319,48,Larrabee St & Kingsbury St,106,State St & Pearson St,Customer,null,null,Near North Side,41.8978,-87.6429,Near North Side,41.8974,-87.6287,1175.73563953781
875311,10/28/2013 6:28,10/28/2013 6:56,2314,1707,296,Broadway & Belmont Ave,37,Dearborn St & Adams St,Customer,null,null,Lake View,41.9401,-87.6455,The Loop,41.8794,-87.6298,6871.50725465063
