trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
988465,11/17/2013 0:00,11/17/2013 0:06,2423,376,130,Damen Ave & Division St,158,Milwaukee Ave & Wabansia Ave,Customer,null,null,West Town,41.9033,-87.6769,West Town,41.9126,-87.6814,1097.34400832783
988470,11/17/2013 0:04,11/17/2013 0:22,345,1058,194,State St & Wacker Dr,47,State St & Kinzie St,Customer,null,null,The Loop,41.8869,-87.626,Near North Side,41.8892,-87.6277,291.129682809385
988472,11/17/2013 0:06,11/17/2013 0:51,1454,2719,255,Indiana Ave & Roosevelt Rd,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.8679,-87.623,The Loop,41.881,-87.6167,1542.97134854821
988474,11/17/2013 0:07,11/17/2013 0:25,1139,1127,342,Wolcott Ave & Polk St,342,Wolcott Ave & Polk St,Customer,null,null,Near West Side,41.8713,-87.6737,Near West Side,41.8713,-87.6737,0
988475,11/17/2013 0:07,11/17/2013 0:22,2752,910,194,State St & Wacker Dr,47,State St & Kinzie St,Customer,null,null,The Loop,41.8869,-87.626,Near North Side,41.8892,-87.6277,291.129682809385
988476,11/17/2013 0:08,11/17/2013 0:25,694,1026,97,Museum Campus,341,Adler Planetarium,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8661,-87.6073,876.599927954975
988479,11/17/2013 0:10,11/17/2013 0:25,1843,922,97,Museum Campus,341,Adler Planetarium,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8661,-87.6073,876.599927954975
988481,11/17/2013 0:13,11/17/2013 0:25,1685,758,97,Museum Campus,341,Adler Planetarium,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8661,-87.6073,876.599927954975
988490,11/17/2013 0:23,11/17/2013 0:46,2752,1394,47,State St & Kinzie St,289,Wells St & Concord Ln,Customer,null,null,Near North Side,41.8892,-87.6277,Lincoln Park,41.9122,-87.6347,2621.56726161078
988491,11/17/2013 0:24,11/17/2013 0:46,345,1334,47,State St & Kinzie St,289,Wells St & Concord Ln,Customer,null,null,Near North Side,41.8892,-87.6277,Lincoln Park,41.9122,-87.6347,2621.56726161078
988493,11/17/2013 0:25,11/17/2013 0:33,1242,492,302,Sheffield Ave & Wrightwood Ave,114,Sheffield Ave & Addison St,Customer,null,null,Lincoln Park,41.9287,-87.6538,Lake View,41.9469,-87.6544,2018.60610343373
988496,11/17/2013 0:28,11/17/2013 0:40,1692,746,165,Clark St & Waveland Ave,344,Wolcott Ave & Lawrence Ave,Customer,null,null,Lake View,41.9508,-87.6592,Lincoln Square,41.9686,-87.6763,2441.36574408922
988497,11/17/2013 0:28,11/17/2013 0:35,1051,421,236,Sedgwick St & Schiller St,176,Clark St & Elm St,Customer,null,null,Near North Side,41.9076,-87.6385,Near North Side,41.9032,-87.6313,771.986509392578
988498,11/17/2013 0:28,11/17/2013 0:35,347,413,236,Sedgwick St & Schiller St,176,Clark St & Elm St,Customer,null,null,Near North Side,41.9076,-87.6385,Near North Side,41.9032,-87.6313,771.986509392578
988499,11/17/2013 0:29,11/17/2013 0:46,1904,1001,128,Damen Ave & Chicago Ave,106,State St & Pearson St,Customer,null,null,West Town,41.8958,-87.6772,Near North Side,41.8974,-87.6287,4028.91236138619
988506,11/17/2013 0:34,11/17/2013 1:19,2257,2710,43,Michigan Ave & Washington St,81,Daley Center Plaza,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.8842,-87.6296,414.918538342979
988509,11/17/2013 0:39,11/17/2013 1:03,2908,1441,128,Damen Ave & Chicago Ave,81,Daley Center Plaza,Customer,null,null,West Town,41.8958,-87.6772,The Loop,41.8842,-87.6296,4154.30364281967
988510,11/17/2013 0:39,11/17/2013 1:03,1937,1440,128,Damen Ave & Chicago Ave,81,Daley Center Plaza,Customer,null,null,West Town,41.8958,-87.6772,The Loop,41.8842,-87.6296,4154.30364281967
988513,11/17/2013 0:40,11/17/2013 0:57,1723,1016,224,Halsted St & Willow St,158,Milwaukee Ave & Wabansia Ave,Customer,null,null,Lincoln Park,41.9138,-87.6488,West Town,41.9126,-87.6814,2703.61961481385
988515,11/17/2013 0:40,11/17/2013 1:19,2412,2317,90,Millennium Park,81,Daley Center Plaza,Customer,null,null,The Loop,41.881,-87.6241,The Loop,41.8842,-87.6296,577.258732475139
988523,11/17/2013 0:47,11/17/2013 1:09,2519,1310,199,Wabash Ave & Grand Ave,350,Ashland Ave & Chicago Ave,Customer,null,null,Near North Side,41.8917,-87.6269,West Town,41.896,-87.6677,3419.15606002575
988525,11/17/2013 0:48,11/17/2013 1:55,2758,3999,76,Lake Shore Dr & Monroe St,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.881,-87.6167,The Loop,41.881,-87.6167,0
988526,11/17/2013 0:48,11/17/2013 1:11,345,1358,289,Wells St & Concord Ln,118,Sedgwick St & North Ave,Customer,null,null,Lincoln Park,41.9122,-87.6347,Lincoln Park,41.9106,-87.6386,374.314228644354
988528,11/17/2013 0:49,11/17/2013 1:11,2752,1296,289,Wells St & Concord Ln,118,Sedgwick St & North Ave,Customer,null,null,Lincoln Park,41.9122,-87.6347,Lincoln Park,41.9106,-87.6386,374.314228644354
988529,11/17/2013 0:50,11/17/2013 1:54,956,3838,76,Lake Shore Dr & Monroe St,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.881,-87.6167,The Loop,41.881,-87.6167,0
988532,11/17/2013 0:58,11/17/2013 1:14,1454,973,76,Lake Shore Dr & Monroe St,321,Wabash Ave & 8th St,Customer,null,null,The Loop,41.881,-87.6167,The Loop,41.872,-87.6261,1265.88900501068
988533,11/17/2013 0:58,11/17/2013 1:14,1302,951,76,Lake Shore Dr & Monroe St,321,Wabash Ave & 8th St,Customer,null,null,The Loop,41.881,-87.6167,The Loop,41.872,-87.6261,1265.88900501068
988535,11/17/2013 0:59,11/17/2013 1:14,1164,910,76,Lake Shore Dr & Monroe St,321,Wabash Ave & 8th St,Customer,null,null,The Loop,41.881,-87.6167,The Loop,41.872,-87.6261,1265.88900501068
988538,11/17/2013 1:03,11/17/2013 1:20,2908,1005,81,Daley Center Plaza,273,Michigan Ave & 18th St,Customer,null,null,The Loop,41.8842,-87.6296,Near South Side,41.8579,-87.6236,2955.25103440904
988539,11/17/2013 1:04,11/17/2013 1:20,2121,977,81,Daley Center Plaza,273,Michigan Ave & 18th St,Customer,null,null,The Loop,41.8842,-87.6296,Near South Side,41.8579,-87.6236,2955.25103440904
988547,11/17/2013 1:11,11/17/2013 1:16,1553,248,128,Damen Ave & Chicago Ave,130,Damen Ave & Division St,Customer,null,null,West Town,41.8958,-87.6772,West Town,41.9033,-87.6769,837.888526594056
988549,11/17/2013 1:12,11/17/2013 1:19,2192,458,229,Southport Ave & Roscoe St,115,Sheffield Ave & Wellington Ave,Customer,null,null,Lake View,41.9437,-87.664,Lake View,41.9363,-87.6536,1201.22653610987
988557,11/17/2013 1:23,11/17/2013 1:29,2375,390,109,900 W Harrison,137,Morgan Ave & 14th Pl,Customer,null,null,Near West Side,41.8747,-87.65,Near West Side,41.8624,-87.6511,1368.57886770545
988559,11/17/2013 1:28,11/17/2013 1:33,1677,294,114,Sheffield Ave & Addison St,306,Sheridan Rd & Buena Ave,Customer,null,null,Lake View,41.9469,-87.6544,Uptown,41.9584,-87.6542,1279.68364207171
988560,11/17/2013 1:28,11/17/2013 1:35,136,384,69,Damen Ave & Pierce Ave,310,Damen Ave & Charleston St,Customer,null,null,West Town,41.9094,-87.6777,Logan Square,41.9201,-87.6779,1186.98740583333
988569,11/17/2013 1:45,11/17/2013 1:58,2402,744,199,Wabash Ave & Grand Ave,141,Clark St & Lincoln Ave,Customer,null,null,Near North Side,41.8917,-87.6269,Lincoln Park,41.9157,-87.6346,2735.20358701564
988575,11/17/2013 1:54,11/17/2013 2:44,1566,2986,214,Damen Ave & Grand Ave,67,Sheffield Ave & Fullerton Ave,Customer,null,null,West Town,41.8912,-87.6769,Lincoln Park,41.9256,-87.6537,4274.74816675815
988579,11/17/2013 1:58,11/17/2013 2:44,1917,2747,214,Damen Ave & Grand Ave,67,Sheffield Ave & Fullerton Ave,Customer,null,null,West Town,41.8912,-87.6769,Lincoln Park,41.9256,-87.6537,4274.74816675815
988584,11/17/2013 2:01,11/17/2013 2:23,2488,1306,205,Paulina St & 18th St,56,Desplaines St & Kinzie St,Customer,null,null,Lower West Side,41.8579,-87.6687,Near West Side,41.8887,-87.6444,3972.77449937698
988586,11/17/2013 2:04,11/17/2013 2:31,429,1613,173,Mies van der Rohe Way & Chicago Ave,211,St Clair St & Erie St,Customer,null,null,Near North Side,41.8969,-87.6217,Near North Side,41.8944,-87.6227,283.915208253791
988587,11/17/2013 2:07,11/17/2013 2:31,747,1405,173,Mies van der Rohe Way & Chicago Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Near North Side,41.8969,-87.6217,Near North Side,41.8969,-87.6217,0
988588,11/17/2013 2:08,11/17/2013 2:31,2421,1379,173,Mies van der Rohe Way & Chicago Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Near North Side,41.8969,-87.6217,Near North Side,41.8969,-87.6217,0
988591,11/17/2013 2:16,11/17/2013 2:23,2394,380,256,Broadway & Sheridan Rd,306,Sheridan Rd & Buena Ave,Customer,null,null,Uptown,41.9528,-87.65,Uptown,41.9584,-87.6542,711.15678213068
988592,11/17/2013 2:17,11/17/2013 2:31,1554,893,58,Ashland Ave & Armitage Ave,290,Kedzie Ave & Palmer Ct,Customer,null,null,Logan Square,41.916,-87.6689,Logan Square,41.9215,-87.7073,3247.23032774779
988596,11/17/2013 2:23,11/17/2013 2:55,1394,1917,110,State St & Erie St,300,Broadway & Barry Ave,Customer,null,null,Near North Side,41.894,-87.6286,Lake View,41.9377,-87.6441,5026.04529178881
988597,11/17/2013 2:24,11/17/2013 2:29,1679,314,56,Desplaines St & Kinzie St,77,Clinton St & Madison St,Customer,null,null,Near West Side,41.8887,-87.6444,Near West Side,41.8816,-87.6413,834.894383284782
988598,11/17/2013 2:23,11/17/2013 2:56,1623,1933,110,State St & Erie St,300,Broadway & Barry Ave,Customer,null,null,Near North Side,41.894,-87.6286,Lake View,41.9377,-87.6441,5026.04529178881
988605,11/17/2013 2:36,11/17/2013 2:56,2421,1208,173,Mies van der Rohe Way & Chicago Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Near North Side,41.8969,-87.6217,Near North Side,41.8969,-87.6217,0
988606,11/17/2013 2:36,11/17/2013 3:24,747,2911,173,Mies van der Rohe Way & Chicago Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Near North Side,41.8969,-87.6217,Near North Side,41.8969,-87.6217,0
988612,11/17/2013 2:47,11/17/2013 3:00,1365,750,227,Southport Ave & Waveland Ave,244,Ravenswood Ave & Irving Park Rd,Customer,null,null,Lake View,41.9482,-87.6639,North Center,41.9547,-87.6739,1101.71262693282
988613,11/17/2013 2:47,11/17/2013 3:02,1806,876,66,Clinton St & Lake St,210,Ashland Ave & Division St,Customer,null,null,Near West Side,41.8858,-87.6414,West Town,41.9034,-87.6693,3033.26678658417
988614,11/17/2013 2:49,11/17/2013 2:59,2691,637,227,Southport Ave & Waveland Ave,244,Ravenswood Ave & Irving Park Rd,Customer,null,null,Lake View,41.9482,-87.6639,North Center,41.9547,-87.6739,1101.71262693282
988617,11/17/2013 2:50,11/17/2013 3:00,1994,562,227,Southport Ave & Waveland Ave,244,Ravenswood Ave & Irving Park Rd,Customer,null,null,Lake View,41.9482,-87.6639,North Center,41.9547,-87.6739,1101.71262693282
