trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
1001450,11/20/2013 0:11,11/20/2013 0:21,1196,572,50,Clark St & Congress Pkwy,241,Morgan St & Polk St,Customer,null,null,The Loop,41.8759,-87.6306,Near West Side,41.8717,-87.651,1760.07842145682
1001458,11/20/2013 0:37,11/20/2013 0:50,1053,828,206,Halsted St & Archer Ave,136,Racine Ave & 13th St,Customer,null,null,Bridgeport,41.8472,-87.6468,Near West Side,41.8651,-87.657,2154.87677657131
1001466,11/20/2013 0:59,11/20/2013 1:10,2192,668,332,Halsted St & Diversey Pkwy,227,Southport Ave & Waveland Ave,Customer,null,null,Lincoln Park,41.9333,-87.6488,Lake View,41.9482,-87.6639,2071.95157693794
1001479,11/20/2013 2:34,11/20/2013 2:38,180,222,275,Ashland Ave & 13th St,275,Ashland Ave & 13th St,Customer,null,null,Near West Side,41.8652,-87.6665,Near West Side,41.8652,-87.6665,0
1001480,11/20/2013 2:36,11/20/2013 2:46,2192,629,227,Southport Ave & Waveland Ave,234,Clark St & Montrose Ave,Customer,null,null,Lake View,41.9482,-87.6639,Uptown,41.9616,-87.666,1502.67317183072
1001481,11/20/2013 3:06,11/20/2013 9:47,2535,24049,339,Emerald Ave & 31st St,279,Halsted St & 35th St,Customer,null,null,Bridgeport,41.8382,-87.6451,Bridgeport,41.8307,-87.6472,853.932481887489
1001521,11/20/2013 5:52,11/20/2013 6:02,435,593,15,Racine Ave & 18th St,241,Morgan St & Polk St,Customer,null,null,Lower West Side,41.8582,-87.6565,Near West Side,41.8717,-87.651,1572.39675398169
1001577,11/20/2013 6:29,11/20/2013 6:37,2093,467,199,Wabash Ave & Grand Ave,35,Streeter Dr & Illinois St,Customer,null,null,Near North Side,41.8917,-87.6269,Near North Side,41.8911,-87.6122,1225.28715871331
1001623,11/20/2013 6:45,11/20/2013 7:03,215,1094,214,Damen Ave & Grand Ave,211,St Clair St & Erie St,Customer,null,null,West Town,41.8912,-87.6769,Near North Side,41.8944,-87.6227,4512.05648459944
1001659,11/20/2013 6:53,11/20/2013 7:01,2360,493,43,Michigan Ave & Washington St,287,Franklin St & Arcade Pl,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.8815,-87.6352,914.370478965143
1001769,11/20/2013 7:20,11/20/2013 8:26,2196,3958,231,Sheridan Rd & Montrose Ave,323,Sheridan Rd & Lawrence Ave,Customer,null,null,Uptown,41.9617,-87.6546,Uptown,41.9695,-87.6547,871.59706720259
1001782,11/20/2013 7:22,11/20/2013 7:29,2093,443,35,Streeter Dr & Illinois St,196,Cityfront Plaza & N Water St,Customer,null,null,Near North Side,41.8911,-87.6122,Near North Side,41.8899,-87.622,823.61395310784
1001813,11/20/2013 7:27,11/20/2013 7:39,2573,707,192,Canal St & Adams St,26,McClurg Ct & Illinois St,Customer,null,null,Near West Side,41.8793,-87.6399,Near North Side,41.891,-87.6173,2286.35835684787
1001847,11/20/2013 7:31,11/20/2013 7:46,856,929,137,Morgan Ave & 14th Pl,284,Michigan Ave & Jackson Blvd,Customer,null,null,Near West Side,41.8624,-87.6511,The Loop,41.8778,-87.6241,2823.27545681198
1001857,11/20/2013 7:33,11/20/2013 7:40,445,416,340,Clark St & Wrightwood Ave,141,Clark St & Lincoln Ave,Customer,null,null,Lincoln Park,41.9295,-87.6431,Lincoln Park,41.9157,-87.6346,1693.56039197622
1001907,11/20/2013 7:40,11/20/2013 7:55,1242,920,173,Mies van der Rohe Way & Chicago Ave,73,Jefferson St & Monroe St,Customer,null,null,Near North Side,41.8969,-87.6217,Near West Side,41.8804,-87.6427,2528.31193161183
1001910,11/20/2013 7:40,11/20/2013 7:54,2049,792,141,Clark St & Lincoln Ave,48,Larrabee St & Kingsbury St,Customer,null,null,Lincoln Park,41.9157,-87.6346,Near North Side,41.8978,-87.6429,2106.26177130215
1001944,11/20/2013 7:43,11/20/2013 7:55,375,674,321,Wabash Ave & 8th St,287,Franklin St & Arcade Pl,Customer,null,null,The Loop,41.872,-87.6261,The Loop,41.8815,-87.6352,1296.92851459567
1001964,11/20/2013 7:45,11/20/2013 7:48,809,183,154,Southport Ave & Belmont Ave,229,Southport Ave & Roscoe St,Customer,null,null,Lake View,41.9395,-87.6638,Lake View,41.9437,-87.664,472.365028443482
1001971,11/20/2013 7:46,11/20/2013 7:49,122,181,122,Congress Pkwy & Ogden Ave,317,Wood St & Taylor St,Customer,null,null,Near West Side,41.875,-87.6733,Near West Side,41.8692,-87.671,676.376929137716
