trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
591259,9/26/2013 0:00,9/26/2013 0:16,1014,1008,120,Wentworth Ave & Archer Ave,255,Indiana Ave & Roosevelt Rd,Customer,null,null,Armour Square,41.8546,-87.6319,The Loop,41.8679,-87.623,1653.99694406837
591260,9/26/2013 0:01,9/26/2013 0:52,1106,3108,284,Michigan Ave & Jackson Blvd,45,Michigan Ave & Congress Pkwy,Customer,null,null,The Loop,41.8778,-87.6241,The Loop,41.8761,-87.6244,200.353723400784
591261,9/26/2013 0:02,9/26/2013 0:11,432,531,238,Ravenswood Ave & Montrose Ave,294,Broadway & Berwyn Ave,Customer,null,null,Lake View,41.9616,-87.6744,Edge Water,41.9784,-87.6598,2218.86216709838
591264,9/26/2013 0:05,9/26/2013 0:36,1327,1868,310,Damen Ave & Charleston St,300,Broadway & Barry Ave,Customer,null,null,Logan Square,41.9201,-87.6779,Lake View,41.9377,-87.6441,3417.75539028086
591265,9/26/2013 0:06,9/26/2013 0:19,463,780,121,Blackstone Ave & Hyde Park Blvd,210,Ashland Ave & Division St,Customer,null,null,Hyde Park,41.8026,-87.5904,West Town,41.9034,-87.6693,12982.2611071726
591278,9/26/2013 0:16,9/26/2013 0:28,1082,735,286,Franklin St & Quincy St,55,Halsted St & James M Rochford St,Customer,null,null,The Loop,41.8787,-87.6348,Near West Side,41.8659,-87.6466,1733.12532168125
591279,9/26/2013 0:17,9/26/2013 0:39,1604,1311,255,Indiana Ave & Roosevelt Rd,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.8679,-87.623,The Loop,41.881,-87.6167,1542.97134854821
591280,9/26/2013 0:17,9/26/2013 0:39,430,1313,255,Indiana Ave & Roosevelt Rd,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.8679,-87.623,The Loop,41.881,-87.6167,1542.97134854821
591290,9/26/2013 0:23,9/26/2013 0:38,878,912,163,Paulina St & Diversey Pkwy,116,Western Ave & Winnebago Ave,Customer,null,null,Lincoln Park,41.9319,-87.6708,Logan Square,41.9155,-87.687,2260.10010029599
591293,9/26/2013 0:24,9/26/2013 0:29,1622,295,184,State St & 35th St,278,Wallace Ave & 35th St,Customer,null,null,Douglas,41.831,-87.6269,Bridgeport,41.8306,-87.6413,1197.90644905217
591294,9/26/2013 0:25,9/26/2013 0:35,1127,601,282,Halsted St & Maxwell St,73,Jefferson St & Monroe St,Customer,null,null,Near West Side,41.8646,-87.6469,Near West Side,41.8804,-87.6427,1793.5381620423
591296,9/26/2013 0:27,9/26/2013 0:39,2070,744,112,Green St & Randolph St,50,Clark St & Congress Pkwy,Customer,null,null,Near West Side,41.8841,-87.6487,The Loop,41.8759,-87.6306,1753.74141846807
591298,9/26/2013 0:29,9/26/2013 0:41,1411,703,224,Halsted St & Willow St,158,Milwaukee Ave & Wabansia Ave,Customer,null,null,Lincoln Park,41.9138,-87.6488,West Town,41.9126,-87.6814,2703.61961481385
591299,9/26/2013 0:30,9/26/2013 0:36,494,358,304,Halsted St & Waveland Ave,312,Clarendon Ave & Gordon Ter,Customer,null,null,Lake View,41.9494,-87.6496,Uptown,41.9579,-87.6495,944.601206954545
591300,9/26/2013 0:33,9/26/2013 0:41,445,459,113,Bissell St & Armitage Ave,289,Wells St & Concord Ln,Customer,null,null,Lincoln Park,41.9184,-87.6522,Lincoln Park,41.9122,-87.6347,1612.86151590974
591301,9/26/2013 0:34,9/26/2013 0:39,1745,278,74,Kingsbury St & Erie St,56,Desplaines St & Kinzie St,Customer,null,null,Near North Side,41.8938,-87.6419,Near West Side,41.8887,-87.6444,608.88632818383
591302,9/26/2013 0:35,9/26/2013 0:54,749,1122,282,Halsted St & Maxwell St,279,Halsted St & 35th St,Customer,null,null,Near West Side,41.8646,-87.6469,Bridgeport,41.8307,-87.6472,3767.44797972682
591305,9/26/2013 0:40,9/26/2013 2:26,1916,6371,106,State St & Pearson St,106,State St & Pearson St,Customer,null,null,Near North Side,41.8974,-87.6287,Near North Side,41.8974,-87.6287,0
591307,9/26/2013 0:40,9/26/2013 0:55,1604,930,76,Lake Shore Dr & Monroe St,35,Streeter Dr & Illinois St,Customer,null,null,The Loop,41.881,-87.6167,Near North Side,41.8911,-87.6122,1184.85976832886
591308,9/26/2013 0:40,9/26/2013 0:55,202,886,76,Lake Shore Dr & Monroe St,35,Streeter Dr & Illinois St,Customer,null,null,The Loop,41.881,-87.6167,Near North Side,41.8911,-87.6122,1184.85976832886
591311,9/26/2013 0:44,9/26/2013 2:19,1945,5684,168,Michigan Ave & 14th St,168,Michigan Ave & 14th St,Customer,null,null,Near South Side,41.8641,-87.6237,Near South Side,41.8641,-87.6237,0
591312,9/26/2013 0:45,9/26/2013 2:19,1437,5669,168,Michigan Ave & 14th St,168,Michigan Ave & 14th St,Customer,null,null,Near South Side,41.8641,-87.6237,Near South Side,41.8641,-87.6237,0
591313,9/26/2013 0:46,9/26/2013 0:56,2293,602,71,Morgan St & Lake St,33,State St & Van Buren St,Customer,null,null,Near West Side,41.8855,-87.6523,The Loop,41.8772,-87.6278,2229.96005123869
591314,9/26/2013 0:47,9/26/2013 2:20,1330,5585,168,Michigan Ave & 14th St,168,Michigan Ave & 14th St,Customer,null,null,Near South Side,41.8641,-87.6237,Near South Side,41.8641,-87.6237,0
591315,9/26/2013 0:47,9/26/2013 2:20,2417,5571,168,Michigan Ave & 14th St,168,Michigan Ave & 14th St,Customer,null,null,Near South Side,41.8641,-87.6237,Near South Side,41.8641,-87.6237,0
591318,9/26/2013 0:55,9/26/2013 1:10,755,921,62,McCormick Place,194,State St & Wacker Dr,Customer,null,null,Near South Side,41.8514,-87.6188,The Loop,41.8869,-87.626,3987.98557632536
591319,9/26/2013 0:56,9/26/2013 1:23,1752,1639,325,Clark St & Winnemac Ave,303,Broadway & Cornelia Ave,Customer,null,null,Uptown,41.9734,-87.6684,Lake View,41.9455,-87.646,3609.52970603715
591321,9/26/2013 0:57,9/26/2013 1:14,169,1004,35,Streeter Dr & Illinois St,85,Michigan Ave & Oak St,Customer,null,null,Near North Side,41.8911,-87.6122,Near North Side,41.901,-87.6238,1459.27164938735
591322,9/26/2013 0:59,9/26/2013 1:27,2192,1690,90,Millennium Park,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,The Loop,41.881,-87.6241,Near North Side,41.8969,-87.6217,1774.29339160125
591323,9/26/2013 0:59,9/26/2013 1:27,2042,1630,90,Millennium Park,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,The Loop,41.881,-87.6241,Near North Side,41.8969,-87.6217,1774.29339160125
591325,9/26/2013 1:07,9/26/2013 2:21,1831,4442,26,McClurg Ct & Illinois St,26,McClurg Ct & Illinois St,Customer,null,null,Near North Side,41.891,-87.6173,Near North Side,41.891,-87.6173,0
591326,9/26/2013 1:10,9/26/2013 2:22,1899,4278,26,McClurg Ct & Illinois St,26,McClurg Ct & Illinois St,Customer,null,null,Near North Side,41.891,-87.6173,Near North Side,41.891,-87.6173,0
591327,9/26/2013 1:11,9/26/2013 2:32,1329,4864,284,Michigan Ave & Jackson Blvd,284,Michigan Ave & Jackson Blvd,Customer,null,null,The Loop,41.8778,-87.6241,The Loop,41.8778,-87.6241,0
591328,9/26/2013 1:11,9/26/2013 1:26,463,922,210,Ashland Ave & Division St,48,Larrabee St & Kingsbury St,Customer,null,null,West Town,41.9034,-87.6693,Near North Side,41.8978,-87.6429,2282.1305376839
591332,9/26/2013 1:13,9/26/2013 2:32,573,4706,284,Michigan Ave & Jackson Blvd,284,Michigan Ave & Jackson Blvd,Customer,null,null,The Loop,41.8778,-87.6241,The Loop,41.8778,-87.6241,0
591335,9/26/2013 1:15,9/26/2013 1:35,169,1170,85,Michigan Ave & Oak St,43,Michigan Ave & Washington St,Customer,null,null,Near North Side,41.901,-87.6238,The Loop,41.8839,-87.6246,1897.10331256214
591336,9/26/2013 1:15,9/26/2013 1:29,2198,876,280,Morgan St & 31st St,14,Morgan St & 18th St,Customer,null,null,Bridgeport,41.8378,-87.6511,Lower West Side,41.8581,-87.6511,2253.17962200804
591337,9/26/2013 1:15,9/26/2013 1:35,647,1166,85,Michigan Ave & Oak St,43,Michigan Ave & Washington St,Customer,null,null,Near North Side,41.901,-87.6238,The Loop,41.8839,-87.6246,1897.10331256214
591340,9/26/2013 1:17,9/26/2013 2:32,1049,4472,284,Michigan Ave & Jackson Blvd,284,Michigan Ave & Jackson Blvd,Customer,null,null,The Loop,41.8778,-87.6241,The Loop,41.8778,-87.6241,0
591342,9/26/2013 1:22,9/26/2013 1:37,2276,920,289,Wells St & Concord Ln,66,Clinton St & Lake St,Customer,null,null,Lincoln Park,41.9122,-87.6347,Near West Side,41.8858,-87.6414,2981.45490289924
591351,9/26/2013 1:35,9/26/2013 1:59,169,1414,43,Michigan Ave & Washington St,59,Wabash Ave & Roosevelt Rd,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.8682,-87.6263,1752.49507283351
591352,9/26/2013 1:35,9/26/2013 1:59,2074,1403,43,Michigan Ave & Washington St,59,Wabash Ave & Roosevelt Rd,Customer,null,null,The Loop,41.8839,-87.6246,The Loop,41.8682,-87.6263,1752.49507283351
591353,9/26/2013 1:39,9/26/2013 2:06,2276,1626,66,Clinton St & Lake St,280,Morgan St & 31st St,Customer,null,null,Near West Side,41.8858,-87.6414,Bridgeport,41.8378,-87.6511,5396.19165974831
591357,9/26/2013 1:48,9/26/2013 2:52,2013,3808,212,Wells St & Ohio St,212,Wells St & Ohio St,Customer,null,null,Near North Side,41.8899,-87.6343,Near North Side,41.8899,-87.6343,0
591359,9/26/2013 2:00,9/26/2013 2:11,1053,700,59,Wabash Ave & Roosevelt Rd,120,Wentworth Ave & Archer Ave,Customer,null,null,The Loop,41.8682,-87.6263,Armour Square,41.8546,-87.6319,1581.9042032704
591362,9/26/2013 2:11,9/26/2013 2:24,27,724,234,Clark St & Montrose Ave,117,Wilton Ave & Belmont Ave,Customer,null,null,Uptown,41.9616,-87.666,Lake View,41.9402,-87.653,2610.60016728477
591363,9/26/2013 2:12,9/26/2013 2:23,955,644,234,Clark St & Montrose Ave,117,Wilton Ave & Belmont Ave,Customer,null,null,Uptown,41.9616,-87.666,Lake View,41.9402,-87.653,2610.60016728477
591364,9/26/2013 2:13,9/26/2013 2:30,365,1029,261,Hermitage Ave & Polk St,74,Kingsbury St & Erie St,Customer,null,null,Near West Side,41.8715,-87.6699,Near North Side,41.8938,-87.6419,3400.85100056155
591365,9/26/2013 2:16,9/26/2013 2:31,213,882,135,Halsted St & 21st St,282,Halsted St & Maxwell St,Customer,null,null,Lower West Side,41.8538,-87.6467,Near West Side,41.8646,-87.6469,1199.78722070564
591366,9/26/2013 2:24,9/26/2013 2:44,859,1229,110,State St & Erie St,59,Wabash Ave & Roosevelt Rd,Customer,null,null,Near North Side,41.894,-87.6286,The Loop,41.8682,-87.6263,2873.84757111633
591367,9/26/2013 2:26,9/26/2013 2:44,1296,1100,110,State St & Erie St,59,Wabash Ave & Roosevelt Rd,Customer,null,null,Near North Side,41.894,-87.6286,The Loop,41.8682,-87.6263,2873.84757111633
591369,9/26/2013 2:35,9/26/2013 2:49,1998,804,282,Halsted St & Maxwell St,275,Ashland Ave & 13th St,Customer,null,null,Near West Side,41.8646,-87.6469,Near West Side,41.8652,-87.6665,1627.01783881734
591370,9/26/2013 2:46,9/26/2013 3:09,495,1402,52,Michigan Ave & Lake St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.886,-87.6241,The Loop,41.886,-87.6241,0
591371,9/26/2013 2:47,9/26/2013 2:56,2452,483,166,Ashland Ave & Wrightwood Ave,67,Sheffield Ave & Fullerton Ave,Customer,null,null,Lincoln Park,41.9288,-87.6685,Lincoln Park,41.9256,-87.6537,1278.79631168375
591372,9/26/2013 2:48,9/26/2013 3:09,1872,1229,52,Michigan Ave & Lake St,52,Michigan Ave & Lake St,Customer,null,null,The Loop,41.886,-87.6241,The Loop,41.886,-87.6241,0
591373,9/26/2013 2:50,9/26/2013 3:16,1998,1508,275,Ashland Ave & 13th St,135,Halsted St & 21st St,Customer,null,null,Near West Side,41.8652,-87.6665,Lower West Side,41.8538,-87.6467,2082.5413348123
591374,9/26/2013 2:53,9/26/2013 3:06,27,781,117,Wilton Ave & Belmont Ave,234,Clark St & Montrose Ave,Customer,null,null,Lake View,41.9402,-87.653,Uptown,41.9616,-87.666,2610.60016728469
591375,9/26/2013 2:55,9/26/2013 3:06,1253,675,117,Wilton Ave & Belmont Ave,234,Clark St & Montrose Ave,Customer,null,null,Lake View,41.9402,-87.653,Uptown,41.9616,-87.666,2610.60016728469
591379,9/26/2013 3:04,9/26/2013 3:41,1117,2237,143,Sedgwick St & Webster Ave,51,Clark St & Randolph St,Customer,null,null,Lincoln Park,41.922,-87.6385,The Loop,41.8846,-87.6319,4189.87296607243
591381,9/26/2013 3:27,9/26/2013 3:31,938,285,90,Millennium Park,44,State St & Randolph St,Customer,null,null,The Loop,41.881,-87.6241,The Loop,41.8847,-87.6277,510.392006942869
591393,9/26/2013 5:16,9/26/2013 5:28,1341,698,35,Streeter Dr & Illinois St,100,Orleans St & Merchandise Mart Plaza,Customer,null,null,Near North Side,41.8911,-87.6122,Near North Side,41.8882,-87.6364,2032.04256215151
