trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
573003,9/24/13 0:02,9/24/13 0:18,2048,956,199,Wabash Ave & Grand Ave,173,Mies van der Rohe Way & Chicago Ave,Customer,null,null,Near North Side,41.8917,-87.6269,Near North Side,41.8969,-87.6217,718.1912137
573004,9/24/13 0:05,9/24/13 0:22,213,1018,206,Halsted St & Archer Ave,135,Halsted St & 21st St,Customer,null,null,Bridgeport,41.8472,-87.6468,Lower West Side,41.8538,-87.6467,730.6091342
573005,9/24/13 0:05,9/24/13 13:18,1030,47546,246,Ashland Ave & Belle Plaine Ave,230,Lincoln Ave & Roscoe St,Customer,null,null,Lake View,41.9561,-87.6689,Lake View,41.9433,-87.671,1423.649502
573007,9/24/13 0:08,9/24/13 0:10,1227,163,130,Damen Ave & Division St,69,Damen Ave & Pierce Ave,Customer,null,null,West Town,41.9033,-87.6769,West Town,41.9094,-87.6777,678.7792754
573008,9/24/13 0:08,9/24/13 0:10,2051,152,130,Damen Ave & Division St,69,Damen Ave & Pierce Ave,Customer,null,null,West Town,41.9033,-87.6769,West Town,41.9094,-87.6777,678.7792754
573009,9/24/13 0:11,9/24/13 0:33,679,1340,49,Dearborn St & Monroe St,37,Dearborn St & Adams St,Customer,null,null,The Loop,41.8813,-87.6295,The Loop,41.8794,-87.6298,219.2329562
573011,9/24/13 0:15,9/24/13 0:22,1398,420,117,Wilton Ave & Belmont Ave,190,Southport Ave & Wrightwood Ave,Customer,null,null,Lake View,41.9402,-87.653,Lincoln Park,41.9289,-87.6632,1510.34509
573012,9/24/13 0:16,9/24/13 0:36,1660,1208,117,Wilton Ave & Belmont Ave,260,Kedzie Ave & Milwaukee Ave,Customer,null,null,Lake View,41.9402,-87.653,Logan Square,41.9296,-87.7079,4696.599782
573015,9/24/13 0:21,9/24/13 0:48,1191,1574,122,Congress Pkwy & Ogden Ave,99,Lake Shore Dr & Ohio St,Customer,null,null,Near West Side,41.875,-87.6733,Near North Side,41.8926,-87.6145,5254.848802
573016,9/24/13 0:22,9/24/13 1:25,1733,3782,211,St Clair St & Erie St,273,Michigan Ave & 18th St,Customer,null,null,Near North Side,41.8944,-87.6227,Near South Side,41.8579,-87.6236,4056.108221
573017,9/24/13 0:23,9/24/13 0:39,1133,948,321,Wabash Ave & 8th St,106,State St & Pearson St,Customer,null,null,The Loop,41.872,-87.6261,Near North Side,41.8974,-87.6287,2839.071681
