trip_id,starttime,stoptime,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthday,from_community,from_station_latt,from_station_long,to_community,to_station_latt,to_station_long,dist_meters
988465,11/17/2013 0:00,11/17/2013 0:06,2423,376,130,Damen Ave & Division St,158,Milwaukee Ave & Wabansia Ave,Customer,null,null,West Town,41.9033,-87.6769,West Town,41.9126,-87.6814,1097.344008
988470,11/17/2013 0:04,11/17/2013 0:22,345,1058,194,State St & Wacker Dr,47,State St & Kinzie St,Customer,null,null,The Loop,41.8869,-87.626,Near North Side,41.8892,-87.6277,291.1296828
988472,11/17/2013 0:06,11/17/2013 0:51,1454,2719,255,Indiana Ave & Roosevelt Rd,76,Lake Shore Dr & Monroe St,Customer,null,null,The Loop,41.8679,-87.623,The Loop,41.881,-87.6167,1542.971349
988474,11/17/2013 0:07,11/17/2013 0:25,1139,1127,342,Wolcott Ave & Polk St,342,Wolcott Ave & Polk St,Customer,null,null,Near West Side,41.8713,-87.6737,Near West Side,41.8713,-87.6737,0
988475,11/17/2013 0:07,11/17/2013 0:22,2752,910,194,State St & Wacker Dr,47,State St & Kinzie St,Customer,null,null,The Loop,41.8869,-87.626,Near North Side,41.8892,-87.6277,291.1296828
988476,11/17/2013 0:08,11/17/2013 0:25,694,1026,97,Museum Campus,341,Adler Planetarium,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8661,-87.6073,876.599928
988479,11/17/2013 0:10,11/17/2013 0:25,1843,922,97,Museum Campus,341,Adler Planetarium,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8661,-87.6073,876.599928
988481,11/17/2013 0:13,11/17/2013 0:25,1685,758,97,Museum Campus,341,Adler Planetarium,Customer,null,null,Near South Side,41.8652,-87.6178,Near South Side,41.8661,-87.6073,876.599928
988490,11/17/2013 0:23,11/17/2013 0:46,2752,1394,47,State St & Kinzie St,289,Wells St & Concord Ln,Customer,null,null,Near North Side,41.8892,-87.6277,Lincoln Park,41.9122,-87.6347,2621.567262
988491,11/17/2013 0:24,11/17/2013 0:46,345,1334,47,State St & Kinzie St,289,Wells St & Concord Ln,Customer,null,null,Near North Side,41.8892,-87.6277,Lincoln Park,41.9122,-87.6347,2621.567262
