CommunityArea,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
Near West Side,55,Halsted St & James M Rochford St,9,15,41.865861,-87.646611,In Service,1,6,Halsted St & James M Rochford St,,,,791 W. James M. Rochford St.,,FALSE,,166
Near West Side,56,Desplaines St & Kinzie St,17,19,41.88871604,-87.64444785,In Service,1,2,Desplaines St & Kinzie St,,,,368 N. Desplaines St.,,FALSE,,39
Near West Side,57,Clinton St & Roosevelt Rd,6,15,41.86711778,-87.64108796,In Service,1,9,Clinton St & Roosevelt Rd,,,,559 W. Roosevelt Rd.,,FALSE,,327
Logan Square,58,Marshfield Ave & Cortland St,4,19,41.916017,-87.668879,In Service,1,15,Marshfield Ave & Cortland St,,,,,,FALSE,,25
The Loop,59,Wabash Ave & Roosevelt Rd,10,19,41.868161,-87.626267,In Service,1,9,Wabash Ave & Roosevelt Rd,,,,1210 S. Wabash Ave.,,FALSE,,31
Near North Side,60,Dayton St & North Ave,8,19,41.91057803,-87.64942193,In Service,1,11,Dayton St & North Ave,,,,1575 N. Dayton St.,,FALSE,,58
West Town,61,Wood St & Milwaukee Ave,9,15,41.907655,-87.672552,In Service,1,6,Wood St & Milwaukee Ave,,,,1416 N. Wood,,FALSE,,221
Near South Side,62,McCormick Place,18,27,41.85137517,-87.61883465,In Service,1,9,McCormick Place,,,,2253 S. Dr. Martin Luther King Jr Dr.,,FALSE,,106
Near West Side,66,Clinton St & Lake St,18,19,41.88583274,-87.64138231,In Service,1,1,Clinton St & Lake St,,Chicago,,202 N. Clinton St.,,FALSE,,21
Lincoln Park,67,Sheffield Ave & Fullerton Ave,11,15,41.92560188,-87.65370804,In Service,1,4,Sheffield Ave & Fullerton Ave,,,,2410 N. Sheffield Ave.,,FALSE,,60
Near West Side,68,Clinton St & Tilden St,18,23,41.875885,-87.640795,In Service,1,5,Clinton St & Tilden St,,,,520 W. Tilden,,FALSE,,37
West Town,69,Damen Ave & Pierce Ave,9,19,41.90939601,-87.67769193,In Service,1,9,Damen Ave & Pierce Ave,,,,2002 W. Pierce Ave.,,FALSE,,65
Near West Side,71,Morgan St & Lake St,2,15,41.88548331,-87.65230486,In Service,1,13,Morgan St & Lake St,,,,1003 W. Lake St.,,FALSE,,72
Near South Side,72,State St & 16th St,10,15,41.86012138,-87.62772919,In Service,1,5,State St & 16th St,,,,1 W. 16th St.,,FALSE,,148
